Text,language
Eya sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Oba sinhala gamana wenuwen kisima kathawak nokaranawa.,Singlish
Mama sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Lokaya gena hariyata hithanna hadanawa oba wage sahurdaya ayata.,Singlish
Oba samahara welawatama hitanawa mage sahurdaya denna thiyenne.,Singlish
Mage prathipattiya obata wenuwen thiyenawa loku sahurdayak.,Singlish
Hithanneth apita oba wage sahurdaya labagaththama hoda.,Singlish
Eya nam lokuma adarei sahurdaya denna wath kalin.,Singlish
Api gamana karanna hitapu welawatama oba sahurdaya.,Singlish
Obata adarei sahurdaya denna kiyala hitaganna ona.,Singlish
Mama obata sahurdaya denna kalin prathipattiya wisthara karanawa.,Singlish
Eya sahurdaya denna mage sahurdaya wath lakwana.,Singlish
Api sahurdaya denna kalin kisima deyak nokaranawa.,Singlish
Oba prathipattiya denna kiyala apata sahurdaya denna ona.,Singlish
Mama sahurdaya denna wenuwen prathipattiya wisthara karanawa.,Singlish
Eya sahurdaya denna nam apita sahurdaya denawa.,Singlish
Api sahurdaya denna kalin kisima deyak nokaranawa.,Singlish
Oba sahurdaya denna kalin apata kisima deyak nokaranawa.,Singlish
Mama sahurdaya denna nam loku adarei sahurdaya.,Singlish
Eya sahurdaya denna kiyala obata sahurdaya denna ona.,Singlish
Api sahurdaya denna kalin kisima deyak nokaranawa.,Singlish
Oba sahurdaya denna wenuwen apita loku adarei.,Singlish
Mama sahurdaya denna nam loku sahurdaya pennanawa.,Singlish
Eya sahurdaya denna kalin apita sahurdaya denna ona.,Singlish
Api sahurdaya denna wenuwen kisima deyak nokaranawa.,Singlish
Oba sahurdaya denna nam loku adarei sahurdaya denna ona.,Singlish
Mama sahurdaya denna kalin apita loku sahurdaya denna ona.,Singlish
Eya sahurdaya denna kiyala apita sahurdaya denna ona.,Singlish
Api sahurdaya denna kalin kisima deyak nokaranawa.,Singlish
Oba sahurdaya denna wenuwen loku sahurdaya denna ona.,Singlish
Mama sahurdaya denna kalin loku adarei sahurdaya denna ona.,Singlish
Eya sahurdaya denna nam apita loku sahurdaya denna ona.,Singlish
Api sahurdaya denna kalin kisima deyak nokaranawa.,Singlish
Oba sahurdaya denna nam loku adarei sahurdaya denna ona.,Singlish
Mama sahurdaya denna kalin loku sahurdaya denna ona.,Singlish
Eya sahurdaya denna kiyala apita loku sahurdaya denna ona.,Singlish
Api sahurdaya denna kalin kisima deyak nokaranawa.,Singlish
Oba sahurdaya denna wenuwen loku sahurdaya denna ona.,Singlish
Mama sahurdaya denna kalin loku adarei sahurdaya denna ona.,Singlish
Eya sahurdaya denna nam apita loku sahurdaya denna ona.,Singlish
Api sahurdaya denna kalin kisima deyak nokaranawa.,Singlish
Oba sahurdaya denna nam loku adarei sahurdaya denna ona.,Singlish
Mama sahurdaya denna kalin loku sahurdaya denna ona.,Singlish
Eya sahurdaya denna kiyala apita loku sahurdaya denna ona.,Singlish
Api sahurdaya denna kalin kisima deyak nokaranawa.,Singlish
Oba sahurdaya denna wenuwen loku sahurdaya denna ona.,Singlish
Mama sahurdaya denna kalin loku adarei sahurdaya denna ona.,Singlish
Eya sahurdaya denna nam apita loku sahurdaya denna ona.,Singlish
Api sahurdaya denna kalin kisima deyak nokaranawa.,Singlish
Oba sahurdaya denna nam loku adarei sahurdaya denna ona.,Singlish
Mama sahurdaya denna kalin loku sahurdaya denna ona.,Singlish
Eya sahurdaya denna kiyala apita loku sahurdaya denna ona.,Singlish
Api sahurdaya denna kalin kisima deyak nokaranawa.,Singlish
Oba sahurdaya denna wenuwen loku sahurdaya denna ona.,Singlish
Mama sahurdaya denna kalin loku adarei sahurdaya denna ona.,Singlish
Eya sahurdaya denna nam apita loku sahurdaya denna ona.,Singlish
Api sahurdaya denna kalin kisima deyak nokaranawa.,Singlish
Oba sahurdaya denna nam loku adarei sahurdaya denna ona.,Singlish
Mama sahurdaya denna kalin loku sahurdaya denna ona.,Singlish
Eya sahurdaya denna kiyala apita loku sahurdaya denna ona.,Singlish
Api sahurdaya denna kalin kisima deyak nokaranawa.,Singlish
Oba sahurdaya denna wenuwen loku sahurdaya denna ona.,Singlish
Mama sahurdaya denna kalin loku adarei sahurdaya denna ona.,Singlish
Eya sahurdaya denna nam apita loku sahurdaya denna ona.,Singlish
Api sahurdaya denna kalin kisima deyak nokaranawa.,Singlish
Oba sahurdaya denna nam loku adarei sahurdaya denna ona.,Singlish
Mama sahurdaya denna kalin loku sahurdaya denna ona.,Singlish
Eya sahurdaya denna kiyala apita loku sahurdaya denna ona.,Singlish
Api sahurdaya denna kalin kisima deyak nokaranawa.,Singlish
Oba sahurdaya denna wenuwen loku sahurdaya denna ona.,Singlish
Mama sahurdaya denna kalin loku adarei sahurdaya denna ona.,Singlish
Eya sahurdaya denna nam apita loku sahurdaya denna ona.,Singlish
Api sahurdaya denna kalin kisima deyak nokaranawa.,Singlish
Oba sahurdaya denna nam loku adarei sahurdaya denna ona.,Singlish
Mama sahurdaya denna kalin loku sahurdaya denna ona.,Singlish
Eya sahurdaya denna kiyala apita loku sahurdaya denna ona.,Singlish
Api sahurdaya denna kalin kisima deyak nokaranawa.,Singlish
Oba sahurdaya denna wenuwen loku sahurdaya denna ona.,Singlish
Mama sahurdaya denna kalin loku adarei sahurdaya denna ona.,Singlish
"Aney, danne nehe! ",Singlish
Istuti karanawa. ,Singlish
Apey saha panankara withakaraa. ,Singlish
Mage wada inne neda? ,Singlish
Ayo appa! ,Singlish
Kohomada? ,Singlish
Vesak wapun saha novak wapun ,Singlish
Mage name Tamara. ,Singlish
Matahara office eyanawa. ,Singlish
Apey api goda oba gamata yanaawa. ,Singlish
Denna ganna? ,Singlish
Kade kiyanawa? ,Singlish
Kothanne? ,Singlish
Kelawada? ,Singlish
Kade denna? ,Singlish
Matahara wada inne? ,Singlish
Kiyanne neda? ,Singlish
"Eka, deka, gasa, daha?a, pancha ",Singlish
Mama kiribath baninawa. ,Singlish
Mata honda roti denna. ,Singlish
Kottu roti inna? ,Singlish
Ape api galle yanaawa. ,Singlish
Matahara Kandy yawanna. ,Singlish
Api dewalaya giya. ,Singlish
Mama oy??a adareyi.,Singlish
Oy?ge n?ma mokakda?,Singlish
M?ka hari rasayi.,Singlish
Oya kohomada?,Singlish
Mama hondin innava.,Singlish
Eya loku prasn?yak.,Singlish
Api kawda yanne?,Singlish
Mama gedara yanawa.,Singlish
Oya koheda inne?,Singlish
Mama kamathida?,Singlish
Oya kawuda?,Singlish
Mata thava tikak on?.,Singlish
Ehema balanna epa.,Singlish
Eya mata one naha.,Singlish
Oya mokakda karanne?,Singlish
Mama thava awasth?wak denna.,Singlish
Oya kavuruwada?,Singlish
Mata one.,Singlish
Api yanna on?.,Singlish
Mata one naha.,Singlish
Eya hari rasayi.,Singlish
Oya mokadda hithanne?,Singlish
Api kawda inne?,Singlish
Mata on? naha.,Singlish
Oya mata adarei.,Singlish
Eya hari ad?ras?ha.,Singlish
Oya mokakda hitanne?,Singlish
Api kohomada yanney?,Singlish
Mata on?.,Singlish
Mama oy??a adareyi.,Singlish
Eya thava thavath on?.,Singlish
Oya mokakda?,Singlish
Oya kohomada?,Singlish
Mama hondin innawa.,Singlish
Eya loku prasn?yak.,Singlish
Api kawda yanne?,Singlish
Mama gedara yanawa.,Singlish
Oya koheda inne?,Singlish
Mama kamathida?,Singlish
Oya kawda?,Singlish
Mata thava tikak on?.,Singlish
Ehema balanna epa.,Singlish
Eya mata one naha.,Singlish
Oya mokakda karanne?,Singlish
Mama thava awasth?wak denna.,Singlish
Oya kavuruwada?,Singlish
Mata one.,Singlish
Api yanna on?.,Singlish
Mata one naha.,Singlish
Eya hari rasayi.,Singlish
Eya hondai.,Singlish
Oya koheda yanney?,Singlish
Mama kavuruwada?,Singlish
Oya kohomada inne?,Singlish
Eya loku weda.,Singlish
Mata kawuru one naha.,Singlish
Oya mage yaluwa.,Singlish
Api kawda yanney?,Singlish
Eya hari hondai.,Singlish
Mama oy??a harida?,Singlish
Eya mage nama.,Singlish
Oya mehema karanne.,Singlish
Eya loku amutuwak.,Singlish
Api kawruwada yanne?,Singlish
Oya monawa da karanne?,Singlish
Mama gedarata yanava.,Singlish
Oya ethakota karanne monawada?,Singlish
Mata thava tikak one.,Singlish
Api ethakota hitanava.,Singlish
Eya hari prasnayak.,Singlish
Oya kawruwada?,Singlish
Mama oy??a hariya.,Singlish
Eya mage kamatha.,Singlish
Oya monawada dannawa?,Singlish
Mama oy??a hadanna.,Singlish
Eya mage adare.,Singlish
Oya mokakda danne?,Singlish
Eya lokui.,Singlish
Oya ethakota enava.,Singlish
Api yanna on? naha.,Singlish
Oya hari hondai.,Singlish
Mata oy??a on?.,Singlish
Api yanna kawruwada?,Singlish
Oya kohomada inne?,Singlish
Mama one ekata.,Singlish
Oya mokakda hithanne?,Singlish
Eya meya.,Singlish
Mama hondai.,Singlish
Eya loku prasnayak.,Singlish
Api yanna one.,Singlish
Oya kohomada yanney?,Singlish
Mama hariyama adareyi.,Singlish
Oya mokakda hitanne?,Singlish
Api kawda yanney?,Singlish
Oya hari amuthu.,Singlish
Eya mama.,Singlish
Oya mokakda?,Singlish
Mata thava tikak on?.,Singlish
Oya monawada hitanne?,Singlish
Mama oy??a hithanna.,Singlish
Eya loku weda.,Singlish
Oya monawada hitanne?,Singlish
Mama kawuruwada?,Singlish
Oya mokakda?,Singlish
Eya meya.,Singlish
Oya monawada karanne?,Singlish
Eya hariya.,Singlish
Mama oy??a adareyi.,Singlish
Oya mokakda?,Singlish
Api kawda inne?,Singlish
Oya monawada karanne?,Singlish
Eya hariya.,Singlish
Mata one naha.,Singlish
Eya hari wenasak.,Singlish
Oya monawada dannawa?,Singlish
Api kawda yanney?,Singlish
Oya mokakda?,Singlish
Eya hari wenasak.,Singlish
Mata on?.,Singlish
Oya mokakda hithanne?,Singlish
Api kawda inne?,Singlish
Oya kohomada inne?,Singlish
Eya hari rasayi.,Singlish
Mama hondai.,Singlish
Oya kawuda?,Singlish
Mata one ekata.,Singlish
Eya hari prasnayak.,Singlish
Oya monawada dannawa?,Singlish
Api yanna on?.,Singlish
Oya mokakda karanne?,Singlish
Eya hari prasnayak.,Singlish
Oya kohomada inne?,Singlish
Mama thava awasth?wak denna.,Singlish
Oya monawada karanne?,Singlish
Api kawda yanne?,Singlish
Mata on?.,Singlish
Eya hari rasayi.,Singlish
Oya mokakda hithanne?,Singlish
Api yanna on?.,Singlish
Oya monawada dannawa?,Singlish
Mata one naha.,Singlish
Eya hari prasnayak.,Singlish
Oya monawada hitanne?,Singlish
Mama oy??a hithanna.,Singlish
Eya hari amuthu.,Singlish
Api kawda inne?,Singlish
Oya mokakda hithanne?,Singlish
Mata thava tikak on?.,Singlish
Oya monawada karanne?,Singlish
Api kawda yanney?,Singlish
Oya monawada hitanne?,Singlish
Mama kawuruwada?,Singlish
Oya mokakda?,Singlish
Eya meya.,Singlish
Oya kohomada inne?,Singlish
Api kawda yanney?,Singlish
Oya mokakda?,Singlish
Eya hari wenasak.,Singlish
Mata on?.,Singlish
Oya mokakda hitanne?,Singlish
Api kawda inne?,Singlish
Oya kohomada inne?,Singlish
Eya hari rasayi.,Singlish
Mama hondai.,Singlish
Oya kawuda?,Singlish
Mata one ekata.,Singlish
Eya hari prasnayak.,Singlish
Oya monawada dannawa?,Singlish
Api yanna on?.,Singlish
Oya mokakda karanne?,Singlish
Eya hari prasnayak.,Singlish
Oya kohomada inne?,Singlish
Mama thava awasth?wak denna.,Singlish
Oya monawada karanne?,Singlish
Api kawda yanne?,Singlish
Mata on?.,Singlish
Eya hari rasayi.,Singlish
Oya mokakda hithanne?,Singlish
Api yanna on?.,Singlish
Oya monawada dannawa?,Singlish
Mata one naha.,Singlish
Eya hari prasnayak.,Singlish
Oya monawada hitanne?,Singlish
Mama oy??a hithanna.,Singlish
Eya hari amuthu.,Singlish
Api kawda inne?,Singlish
Oya mokakda hithanne?,Singlish
Mata thava tikak on?.,Singlish
Oya monawada karanne?,Singlish
Api kawda yanney?,Singlish
Oya monawada hitanne?,Singlish
Mama kawuruwada?,Singlish
Oya mokakda?,Singlish
Eya meya.,Singlish
Oya kohomada inne?,Singlish
Api kawda yanney?,Singlish
Oya mokakda?,Singlish
Eya hari wenasak.,Singlish
Mata on?.,Singlish
Oya mokakda hitanne?,Singlish
Api kawda inne?,Singlish
Oya kohomada inne?,Singlish
Eya hari rasayi.,Singlish
Mama hondai.,Singlish
Oya kawuda?,Singlish
Mata one ekata.,Singlish
Eya hari prasnayak.,Singlish
Oya monawada dannawa?,Singlish
Api yanna on?.,Singlish
Oya mokakda karanne?,Singlish
Eya hari prasnayak.,Singlish
Oya kohomada inne?,Singlish
Mama thava awasth?wak denna.,Singlish
Oya monawada karanne?,Singlish
Api kawda yanne?,Singlish
Mata on?.,Singlish
Eya hari rasayi.,Singlish
Oya mokakda hithanne?,Singlish
Api yanna on?.,Singlish
Oya monawada dannawa?,Singlish
Mata one naha.,Singlish
Eya hari prasnayak.,Singlish
Oya monawada hitanne?,Singlish
Mama oy??a hithanna.,Singlish
Eya hari amuthu.,Singlish
Api kawda inne?,Singlish
Oya mokakda hithanne?,Singlish
Mata thava tikak on?.,Singlish
Oya monawada karanne?,Singlish
Api kawda yanney?,Singlish
Oya monawada hitanne?,Singlish
Mama kawuruwada?,Singlish
Oya mokakda?,Singlish
Eya meya.,Singlish
Oya kohomada inne?,Singlish
Api kawda yanney?,Singlish
Oya mokakda?,Singlish
Eya hari wenasak.,Singlish
Mata on?.,Singlish
Oya mokakda hitanne?,Singlish
Api kawda inne?,Singlish
Oya kohomada inne?,Singlish
Eya hari rasayi.,Singlish
Mama hondai.,Singlish
Oya kawuda?,Singlish
Mata one ekata.,Singlish
Eya hari prasnayak.,Singlish
Oya monawada dannawa?,Singlish
Api yanna on?.,Singlish
Oya mokakda karanne?,Singlish
Eya hari prasnayak.,Singlish
Oya kohomada inne?,Singlish
Mama thava awasth?wak denna.,Singlish
Oya monawada karanne?,Singlish
Api kawda yanne?,Singlish
Mata on?.,Singlish
Eya hari rasayi.,Singlish
Oya mokakda hithanne?,Singlish
Api yanna on?.,Singlish
Oya monawada dannawa?,Singlish
Mata one naha.,Singlish
Eya hari prasnayak.,Singlish
Oya monawada hitanne?,Singlish
Mama oy??a hithanna.,Singlish
Eya hari amuthu.,Singlish
Api kawda inne?,Singlish
Oya mokakda hithanne?,Singlish
Mata thava tikak on?.,Singlish
Oya monawada karanne?,Singlish
Api kawda yanney?,Singlish
Oya monawada hitanne?,Singlish
Mama kawuruwada?,Singlish
Oya mokakda?,Singlish
Eya meya.,Singlish
Oya kohomada inne?,Singlish
Api kawda yanney?,Singlish
Oya mokakda?,Singlish
Eya hari wenasak.,Singlish
Mata on?.,Singlish
Oya mokakda hitanne?,Singlish
Api kawda inne?,Singlish
Oya kohomada inne?,Singlish
Eya hari rasayi.,Singlish
Mama hondai.,Singlish
Oya kawuda?,Singlish
Mata one ekata.,Singlish
Eya hari prasnayak.,Singlish
Oya monawada dannawa?,Singlish
Api yanna on?.,Singlish
Oya mokakda karanne?,Singlish
Eya hari prasnayak.,Singlish
Oya kohomada inne?,Singlish
Bus stand koheda? ,Singlish
Hospital eka yana ganne aran? ,Singlish
Matahara meda denna pathata wage? ,Singlish
Mata honda kiyala denna dunna? ,Singlish
Mage telephone number 077 123456. ,Singlish
Mata honda puthuwata kiyala denna neda? ,Singlish
Mama honda haraganne. ,Singlish
Mata honda mage hari mage santhoshthe. ,Singlish
Denna wage eka stundu denne nehe. ,Singlish
Denna kade denne? ,Singlish
Mata honda denne gedera wokeru wida? ,Singlish
Denna kade wela wage eka denne. ,Singlish
Mata honda awa owathan inne? ,Singlish
Mama honda kiribath denne neda? ,Singlish
Mata honda inna tavern eka wage godak denna. ,Singlish
Denna kiyata denna? ,Singlish
Mama honda denna kirillan denna neda? ,Singlish
Mata honda inna hatara denne denne kiyala denna neda? ,Singlish
Aajaa wassa wage eka denna. ,Singlish
Mata honda inna wassa wage denna denna wage godak nehe. ,Singlish
Denna ape hora wela wage denna. ,Singlish
Apey api auwana 6 baj jak gannawa. ,Singlish
Mata honda inna date April 17th denna. ,Singlish
Denna ganna apa honda January maha pahan genaawa? ,Singlish
Mata honda bus eka pennanawa? ,Singlish
Api api tren eka yanaawa. ,Singlish
Mata honda inna tuk tuk eka wage godak denna? ,Singlish
Mata honda inna hama machang. ,Singlish
Api honda mage sister eka inna tavern eka wage godak denna. ,Singlish
Mata honda inna aran inna wedakara denna? ,Singlish
Mama honda inna doctor eka denna awa owathan inne? ,Singlish
Mata honda dawa wage denna neda? ,Singlish
Api honda inna hospital eka wage denna. ,Singlish
Mata honda inna picture eka wage wenna inne? ,Singlish
Api honda inna movie eka denna. ,Singlish
Mata honda inna cricket match eka denna wage goda wage? ,Singlish
Mata honda Sinhala wage denna denna igenne neda? ,Singlish
Api honda inna school eka wage denna. ,Singlish
Mata honda inna library eka wage godak denne kiyawa inne? ,Singlish
Mama honda inna aran wage hondata denna. ,Singlish
Mata honda inna aran wage baya wage denna. ,Singlish
Api honda inna wage wenna wage denna. ,Singlish
Bus stand eka denna gedera passe? ,Singlish
Mata honda dewalaya eka yana aran wage? ,Singlish
Api honda inna kade wage godak wage denna denna gannawanne? ,Singlish
Mata honda inna restaurant eka wage ganna neda? ,Singlish
Api honda inna beach eka wage goda wage denna denna denne kiyawa inne? ,Singlish
Mata honda inna movie eka wage denne denna ape hondata denna neda? ,Singlish
Mata honda inna inna hatara wage godak wela wage denna. ,Singlish
Api honda inna denne kade wage ape aran wage godak denna. ,Singlish
Mata honda inna car eka wage inna bike eka wage wage wenna denne? ,Singlish
Mata honda inna awa owathanne istuti karanawa. ,Singlish
Api honda inna denna kiyala denna dunna istuti karanawa. ,Singlish
Mata honda inna wage wenne wage denna istuti karanawa. ,Singlish
